Pt1	Int32	String	Text	StringEnum	Int32	StringEnum	String	String	Int32	String	Int32	Int32	Int32	String	Int32	Int32	Char
	No	Empresa	UEB/OC	Provincia	UEB Alimatic	Sist. Cont	Migración	Nómina	C	Real	Plan	ADSL	PAP	Aumento	Maq Env	PLC	S
	72	Cárnica Las Tunas	Victuro Acosta L	Las Tunas	0	Sicema SQL		SQL	5				1	0			G
	72	Cárnica Las Tunas	Gerónimo Astier	Las Tunas	0	Sicema SQL		SQL	5				1	0			G
	72	Cárnica Las Tunas	Pelayo Cusido T	Las Tunas	0	Sicema SQL		SQL	5				1	0			G
	72	Cárnica Las Tunas	CEDP 26 de Julio	Las Tunas	0	Sicema SQL		SQL	5				1	0			G
	71	PESCACAM	Estrella Roja	Camaguey	0	Sicema SQL	01/04/2017	SQL	5				1	0			G
	70	EPISUR	Playa Florida	Camaguey	0	Siscomip	01/07/2017	SQL	5				1	0			G
	70	EPISUR	Oficina Central	Camaguey	0	Siscomip	01/07/2017	SQL	5	192	512	2		320			G
	69	Aceites Camaguey	Operaciones y Logística	Camaguey	0	Sicema SQL		SQL	5				1	0			G
	67	Bebidas Camaguey	Distribuidora de Bebidas y Refrescos Camagüey	Camaguey	0	Sicema SQL		SQL	5				1	0			G
	67	Bebidas Camaguey	Base de Transporte	Camaguey	0	Sicema SQL		SQL	5				1	0			G
	67	Bebidas Camaguey	Fábrica de Refrescos Florida	Camaguey	0	Sicema SQL		SQL	5				1	0			G
	67	Bebidas Camaguey	Fábrica de Refrescos, Ron y Vinos Bartle-Las tunas	Las Tunas	0	Sicema SQL		SQL	5				1	0			G
	68	Cervecería Tínima	Oficina Central	Camaguey	0	Sicema SQL		DESOFT	1	128	512	1		384			G
	68	Cervecería Tínima	Elaboración	Camaguey	0	Sicema SQL		DESOFT	1	128d				#VALUE!			G
	68	Cervecería Tínima	Envasado	Camaguey	0	Sicema SQL		DESOFT	1	128d				#VALUE!			G
	68	Cervecería Tínima	Ventas	Camaguey	0	Sicema SQL		DESOFT	1	128d				#VALUE!			G
	68	Cervecería Tínima	Logística	Camaguey	0	Sicema SQL		DESOFT	1	128d				#VALUE!			G
	68	Cervecería Tínima	Mantenimiento	Camaguey	0	Sicema SQL		DESOFT	1	128d				#VALUE!			G
	68	Cervecería Tínima	Servicios Productivos	Camaguey	0	Sicema SQL		DESOFT	1	128d				#VALUE!			G
	68	Cervecería Tínima	Transporte	Camaguey	0	Sicema SQL		DESOFT	1	128d				#VALUE!			G
	68	Cervecería Tínima	Embotelladora de Ciego de Ávila	Ciego de Ávila	0	Sicema SQL		SQL	5				1	0			G
